,address,company,company_link,educational,experience,info_link,name,publish_time,salary,work_place,work_type
29,"[雨花台区郁金香路2号郁金香软件大厦                                        (邮编：210012)
                            ]",南京绛门信息科技股份有限公司,https://jobs.51job.com/all/co2747446.html,招1人,无工作经验,https://jobs.51job.com/shanghai-jaq/102913281.html?s=01&t=0,Python开发工程师,06-02,1-1.5万/月,北京-朝阳区,大数据开发/分析
30,"[深圳市宝安区新安三路陆氏工业大厦西座3楼西（洪浪北地铁站C出口附近）                                        (邮编：518020)
                            ]",深圳市卓达电子有限公司,https://jobs.51job.com/all/co3178932.html,大专,无工作经验,https://jobs.51job.com/nanjing/102910593.html?s=01&t=0,Python开发工程师/互联网工程师,06-02,1-1.6万/月,深圳,ERP技术开发
31,"[龙岗区坂田里浦街7-1号4楼401（创兴时代楼盘后面, 恒邦工业园盼宝科技这栋楼）                                        (邮编：518000)
                            ]",深圳乐创科技开发有限公司,https://jobs.51job.com/all/co4257745.html,本科,2年经验,https://jobs.51job.com/guangzhou-thq/102883005.html?s=01&t=0,Python程序员 开发工程师 软件工程师,06-02,1-1.5万/月,深圳-龙岗区,互联网软件开发工程师
32,"[上海市徐汇区田林路200号A2幢7层                                        (邮编：200233)
                            ]",上海携宁计算机科技股份有限公司,https://jobs.51job.com/all/co366934.html,本科,5-7年经验,https://jobs.51job.com/chengdu-whq/102718941.html?s=01&t=0,金融数据分析和机器学习(python),06-02,0.8-1.2万/月,上海-徐汇区,高级软件工程师
33,"[高新区天府大道北段1288号泰达时代                                        (邮编：610041)
                            ]",成都市晓易互动科技有限公司,https://jobs.51job.com/all/co4920098.html,招1人,3-4年经验,https://jobs.51job.com/chengdu-gxq/101820588.html?s=01&t=0,Python开发工程师,06-02,0.8-1万/月,成都-高新区,软件工程师
34,"[北京市西城区百万庄大街11号粮科大厦3层                                        (邮编：100037)
                            ]",北京中亦安图科技股份有限公司,https://jobs.51job.com/all/co2195908.html,本科,无工作经验,https://jobs.51job.com/shenzhen/101701241.html?s=01&t=0,自动化实施（shell/python）,06-02,0.8-1万/月,上海,软件工程师
35,"[合肥市高新区创新产业园二期G2栋                                        (邮编：230088)
                            ]",安徽国泰安教育科技有限公司,https://jobs.51job.com/all/co3975238.html,本科,2年经验,https://jobs.51job.com/xian-gxjs/101242389.html?s=01&t=0,python开发工程师,06-02,0.6-1.2万/月,合肥-高新区,软件工程师
36,"[杭州市余杭区文一西路1001号衢时代A座2层                                        (邮编：310030)
                            ]",杭州牛盾网络技术有限公司,https://jobs.51job.com/all/co4339513.html,本科,2年经验,https://jobs.51job.com/nanjing-jyq/99943064.html?s=01&t=0,Python开发工程师,06-02,0.8-1.6万/月,杭州-余杭区,软件工程师
37,"[深圳市福田区联合广场A座2205                                        (邮编：518000)
                            ]",马丁（深圳）高新科技有限公司,https://jobs.51job.com/all/co4187710.html,大专,无工作经验,https://jobs.51job.com/wuhan-hsq/96181897.html?s=01&t=0,游戏服务端Python开发工程师,06-02,1.2-1.8万/月,深圳-宝安区,讲师/助教
38,"[长宁区通协路268号尚品都汇                                        (邮编：200060)
                            ]",上海凭安征信服务有限公司,https://jobs.51job.com/all/co2869172.html,本科,2年经验,https://jobs.51job.com/shanghai-hpq/91387124.html?s=01&t=0,Python架构师,06-02,2.5-4万/月,上海-长宁区,系统架构设计师
